epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,99.8547,0.75271,5.32874,23.5764,0.28096,0,0,0,0,0,0,0,0,0.00065,5.47119,18.2188,0.00039,0.0002774,0.0002774,0.0002774
89,100.948,1.58934,6.00063,24.1224,0.69131,0,0,0,0,0,0,0,0,0.00034,5.26978,18.5,0.00022,0.0002576,0.0002576,0.0002576
90,101.987,0.02308,3.28863,23.1192,0.00872,0,0,0,0,0,0,0,0,0.00034,5.26978,18.5,0.00022,0.0002378,0.0002378,0.0002378
91,109.178,0,5.20206,23.3791,0,0,0,0,0,0,0,0,0,0.00034,5.26978,18.5,0.00022,0.000218,0.000218,0.000218
92,111.144,0,6.55799,22.9424,0,0,0,0,0,0,0,0,0,0.00026,5.21484,18.5,0.00018,0.0001982,0.0001982,0.0001982
93,112.283,0.10238,6.23673,23.052,0.04677,0,0,0,0,0,0,0,0,0.00026,5.21484,18.5,0.00018,0.0001784,0.0001784,0.0001784
94,113.394,2.43785,2.40435,24.5616,1.00807,0,0,0,0,0,0,0,0,0.00026,5.21484,18.5,0.00018,0.0001586,0.0001586,0.0001586
95,114.524,3.10655,5.66453,25.0936,1.37103,0,0,0,0,0,0,0,0,0.00018,5.52612,18.5,0.00013,0.0001388,0.0001388,0.0001388
96,115.617,0.01649,7.08688,23.3471,0.00711,0,0,0,0,0,0,0,0,0.00018,5.52612,18.5,0.00013,0.000119,0.000119,0.000119
97,116.73,1.2181,2.90463,23.8745,0.44838,0,0,0,0,0,0,0,0,0.00018,5.52612,18.5,0.00013,9.92e-05,9.92e-05,9.92e-05
98,117.78,0.00015,3.75878,23.1466,0.00011,0,0,0,0,0,0,0,0,0.00018,5.25146,18.4688,0.00013,7.94e-05,7.94e-05,7.94e-05
99,118.867,0.03358,8.03078,22.8246,0.01063,0,0,0,0,0,0,0,0,0.00018,5.25146,18.4688,0.00013,5.96e-05,5.96e-05,5.96e-05
100,119.918,0.06345,5.6259,22.932,0.04788,0,0,0,0,0,0,0,0,0.00018,5.25146,18.4688,0.00013,3.98e-05,3.98e-05,3.98e-05
